,City,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
0,Nikolskoye,59.7,30.79,73.99,46,99,13.42,RU,1595091520
1,Kiryat Gat,31.61,34.76,82.99,62,0,7.65,IL,1595091520
2,Ancud,-41.87,-73.82,52,93,75,16.11,CL,1595091520
4,Maragogi,-9.01,-35.22,78.42,73,71,12.41,BR,1595091521
5,Rikitea,-23.12,-134.97,72.84,81,48,20.2,PF,1595091521
6,Ranfurly,-45.13,170.1,37,91,1,3.31,NZ,1595091521
7,Bluff,-46.6,168.33,36.73,80,0,6.64,NZ,1595091521
8,Boa Vista,2.82,-60.67,80.6,74,75,2.24,BR,1595091521
9,Albany,42.6,-73.97,88,56,0,1.36,US,1595091505
10,Hilo,19.73,-155.09,73.4,73,75,5.82,US,1595091372
11,Berlevåg,70.86,29.09,50.76,87,99,4.74,NO,1595091522
12,Port Macquarie,-31.43,152.92,44.01,97,40,4.21,AU,1595091522
13,New Norfolk,-42.78,147.06,44.01,80,29,1.01,AU,1595091522
14,Barrow,71.29,-156.79,35.6,93,90,18.34,US,1595091523
16,Emba,48.83,58.14,90.09,20,86,7.7,KZ,1595091523
17,Laguna,38.42,-121.42,75.99,56,1,4.7,US,1595091523
18,Sorong,-0.88,131.25,77.4,86,43,7.18,ID,1595091523
19,Talnakh,69.49,88.4,51.8,81,82,6.71,RU,1595091523
21,Vaini,-21.2,-175.2,73.4,94,75,8.05,TO,1595091524
22,Nyrob,60.73,56.72,68.04,70,79,4,RU,1595091524
23,Cherskiy,68.75,161.3,54.41,79,0,1.5,RU,1595091524
24,Puerto Ayora,-0.74,-90.35,75.2,73,40,17.22,EC,1595091524
25,Beaufort,5.35,115.75,78.8,94,20,2.24,MY,1595091524
26,Salalah,17.02,54.09,84.2,89,90,8.05,OM,1595091525
27,Ygatimi,-24.08,-55.5,87.17,31,6,10.74,PY,1595091525
28,Hare Bay,48.85,-54.01,71.6,26,20,5.82,CA,1595091525
29,Indramayu,-6.33,108.32,78.98,81,54,6.15,ID,1595091525
30,Taoudenni,22.68,-3.98,112.37,10,56,2.48,ML,1595091525
31,Castro,-24.79,-50.01,74.5,53,1,6.87,BR,1595091525
32,Gizo Government Station,-8.1,156.84,81.63,75,100,7.14,SB,1595091526
33,Lima,-12.04,-77.03,64.4,72,90,6.93,PE,1595091379
34,Barra Patuca,15.8,-84.28,84.69,70,7,4.74,HN,1595091526
35,Asău,46.43,26.4,75.2,64,20,5.82,RO,1595091526
36,Dikson,73.51,80.55,39.27,94,100,9.13,RU,1595091526
37,Tiksi,71.69,128.87,47.57,81,100,9.22,RU,1595091526
38,Jamestown,42.1,-79.24,84.99,65,1,9.17,US,1595091526
39,Poronaysk,49.22,143.12,59.81,95,70,3.29,RU,1595091527
40,Muros,42.78,-9.06,93.2,28,20,5.82,ES,1595091527
41,Mataura,-46.19,168.86,31.19,95,0,2.46,NZ,1595091527
42,Kruisfontein,-34,24.73,55.71,61,0,7.34,ZA,1595091527
43,Qaanaaq,77.48,-69.36,47.73,71,90,3.31,GL,1595091528
44,Tarko-Sale,64.92,77.78,54,92,100,16.93,RU,1595091528
45,Yellowknife,62.46,-114.35,72,59,20,8.05,CA,1595091525
46,Buraidah,26.33,43.98,105.8,13,54,16.11,SA,1595091491
47,Bud,39.45,-86.18,88,66,40,5.82,US,1595091528
49,Te Anau,-45.42,167.72,32.77,90,2,0.83,NZ,1595091528
50,Jumla,29.27,82.18,65.97,74,100,2.33,NP,1595091528
51,Ushuaia,-54.8,-68.3,32,94,75,0.98,AR,1595091529
53,Cascais,38.7,-9.42,87.8,47,20,6.93,PT,1595091529
54,Edineţ,48.17,27.3,79,57,20,1.01,MD,1595091529
55,Busselton,-33.65,115.33,50,94,52,6.02,AU,1595091529
56,Isangel,-19.55,169.27,70.72,72,97,7.99,VU,1595091529
57,Saint-Philippe,-21.36,55.77,66.99,77,40,9.17,RE,1595091530
58,Union City,37.6,-122.02,73,77,90,4.7,US,1595091530
59,Muroto-misakicho,33.28,134.15,76.59,80,100,4.76,JP,1595091530
60,Atuona,-9.8,-139.03,79.34,79,4,17.76,PF,1595091530
61,Berbera,10.44,45.01,95.38,36,100,21.32,SO,1595091530
62,Hermanus,-34.42,19.23,57,87,0,11.92,ZA,1595091531
63,Ribeira Grande,38.52,-28.7,75.2,57,40,12.75,PT,1595091531
64,Yangi Marg`ilon,40.43,71.72,86,23,99,4.7,UZ,1595091531
65,Mount Gambier,-37.83,140.77,46.4,93,40,10.29,AU,1595091341
66,Alice Springs,-23.7,133.88,48.2,29,0,4.7,AU,1595091378
67,Saint George,37.1,-113.58,93,17,1,0.96,US,1595091531
68,Uglovoye,44.82,33.6,75.04,71,66,4.38,UA,1595091531
69,Cape Town,-33.93,18.42,60.8,77,0,5.82,ZA,1595091408
70,Vanavara,60.34,102.28,45.32,95,70,5.48,RU,1595091532
71,Port Lincoln,-34.73,135.87,53.71,74,12,17.49,AU,1595091532
72,Riyadh,24.69,46.72,104,10,64,10.29,SA,1595091532
73,Avarua,-21.21,-159.78,68,77,51,2.24,CK,1595091532
74,Waterloo,43.47,-80.52,84.2,58,1,12.75,CA,1595091272
75,Saint Paul Harbor,57.79,-152.41,55.4,87,40,3.36,US,1595091289
76,Sovetskiy,61.36,63.58,70.41,82,31,4.25,RU,1595091533
77,Mar del Plata,-38,-57.56,59,77,90,3.36,AR,1595091533
78,Norman Wells,65.28,-126.83,62.6,88,75,6.93,CA,1595091533
79,Chui,-33.7,-53.46,63.07,92,100,4.05,UY,1595091533
80,Dhekiajuli,26.7,92.5,80.04,91,100,3.71,IN,1595091533
81,Kango,0.19,10.1,80.08,76,61,4.18,GA,1595091533
82,Bredasdorp,-34.53,20.04,60.8,72,0,1.12,ZA,1595091533
84,Qiqihar,47.34,123.97,68.38,86,100,4.72,CN,1595091432
85,Charters Towers,-20.1,146.27,51.6,90,50,6.35,AU,1595091534
87,Makakilo City,21.35,-158.09,75.2,83,1,4.7,US,1595091534
88,Carnarvon,-24.87,113.63,57.2,62,0,13.87,AU,1595091534
89,Bilma,18.69,12.92,99.9,16,58,6.53,NE,1595091535
90,Punta Arenas,-53.15,-70.92,33.8,86,75,11.41,CL,1595091535
91,Cape Coast,5.11,-1.25,77.23,83,71,10.38,GH,1595091535
92,Egvekinot,66.32,-179.17,39.13,84,68,7.9,RU,1595091535
93,Butaritari,3.07,172.79,83.35,77,6,16.53,KI,1595091535
94,Saskylakh,71.92,114.08,44.94,76,62,10.45,RU,1595091535
95,Tarakan,3.3,117.63,82.18,73,81,5.46,ID,1595091305
96,Kaniama,-7.57,24.18,71.02,30,19,4.05,CD,1595091536
97,Hithadhoo,-0.6,73.08,80.82,82,100,34.81,MV,1595091530
98,Kaitangata,-46.28,169.85,43,88,4,7,NZ,1595091536
99,Nanortalik,60.14,-45.24,50.25,62,26,11.32,GL,1595091536
100,Hobart,-42.88,147.33,50,70,20,12.75,AU,1595091446
101,Shingū,33.73,135.98,71.65,83,100,4.61,JP,1595091536
102,Kapaa,22.08,-159.32,78.8,83,20,3.36,US,1595091536
103,Batagay-Alyta,67.8,130.41,53.35,94,100,0.89,RU,1595091537
104,Ouro Sogui,15.61,-13.32,78.8,88,76,2.24,SN,1595091537
105,Tuktoyaktuk,69.45,-133.04,41,93,90,14.99,CA,1595091537
106,Cabedelo,-6.98,-34.83,73.4,100,90,20.8,BR,1595091537
107,Souillac,-20.52,57.52,69.8,68,40,14.99,MU,1595091537
108,Sydney,-33.87,151.21,52,87,100,9.17,AU,1595091406
110,Port Alfred,-33.59,26.89,64.44,45,0,6.69,ZA,1595091538
111,Tutóia,-2.76,-42.27,86.76,52,65,5.44,BR,1595091538
112,Trairi,-3.28,-39.27,87.3,54,63,13.24,BR,1595091538
113,Bereda,43.27,-7.54,89.01,47,0,11.99,ES,1595091539
114,Nanning,22.82,108.32,84.2,83,100,4.47,CN,1595091459
115,Kungurtug,50.6,97.52,48.52,73,1,1.32,RU,1595091539
116,Sinop Province,41.77,34.87,63.93,82,0,3,TR,1595091539
117,Khani,41.96,42.96,78.8,78,75,12.75,GE,1595091539
118,Portland,45.52,-122.68,64.99,67,20,3.89,US,1595090967
119,Birigui,-21.29,-50.34,85.84,30,0,13.58,BR,1595091540
120,Ponta do Sol,32.67,-17.1,77,57,67,2.24,PT,1595091540
121,Matola,-25.96,32.46,68,64,0,11.41,MZ,1595091540
122,Conde,-7.26,-34.91,73.4,100,90,20.8,BR,1595091540
123,La Ronge,55.1,-105.28,59,100,90,2.24,CA,1595091541
124,San Quintín,30.48,-115.95,73.63,68,19,11.48,MX,1595091541
126,Arraial do Cabo,-22.97,-42.03,77,57,20,17.22,BR,1595091541
127,Fort-Shevchenko,44.51,50.26,82.26,63,0,6.06,KZ,1595091541
128,Kosh-Agach,50,88.67,58.3,48,0,2.71,RU,1595091542
129,Dali,25.7,100.18,62.35,86,100,4.88,CN,1595091542
130,Saldanha,-33.01,17.94,60.8,72,0,3.36,ZA,1595091542
131,Kahului,20.89,-156.47,75.99,69,1,8.41,US,1595091375
132,Cap Malheureux,-19.98,57.61,66.99,76,1,5.01,MU,1595091542
133,Tasiilaq,65.61,-37.64,53.6,58,20,12.75,GL,1595091543
134,Codrington,-38.27,141.97,46.98,85,60,12.15,AU,1595091543
135,Thompson,55.74,-97.86,68,68,75,10.29,CA,1595091543
136,Am Timan,11.03,20.28,80.6,68,60,5.35,TD,1595091543
137,Aasiaat,68.71,-52.87,44.02,61,95,12.75,GL,1595091543
138,Beloha,-25.17,45.05,62.31,82,12,8.97,MG,1595091543
139,East London,-33.02,27.91,69.22,27,0,4.34,ZA,1595091544
140,Pisco,-13.7,-76.22,64.99,68,20,9.17,PE,1595091544
141,Makhachkala,42.98,47.5,80.6,54,13,6.71,RU,1595091544
142,Grindavik,63.84,-22.43,55.4,58,75,29.97,IS,1595091544
143,Deputatsky,69.3,139.9,43.54,77,98,5.03,RU,1595091544
144,Hong Kong,22.29,114.16,86,70,100,8.01,HK,1595091512
145,Bandarbeyla,9.49,50.81,83.32,51,52,26.19,SO,1595091545
147,Saint-Augustin,51.23,-58.65,68.72,55,0,15.86,CA,1595091545
148,Klaksvík,62.23,-6.59,51.8,87,87,13.87,FO,1595091545
149,Jacareacanga,-6.22,-57.75,94.93,34,40,4.65,BR,1595091545
150,Koumac,-20.57,164.28,64.53,72,2,2.08,NC,1595091546
151,Bathsheba,13.22,-59.52,86,66,75,16.11,BB,1595091546
152,Boende,-0.22,20.87,75.02,82,69,1.23,CD,1595091546
153,Atar,20.52,-13.05,108.57,13,50,7.81,MR,1595091546
155,Torbay,47.67,-52.73,66.99,48,40,11.41,CA,1595091546
156,Mongaguá,-24.09,-46.62,75,56,3,8.05,BR,1595091481
157,Galle,6.04,80.22,81.16,84,96,10.31,LK,1595091463
158,Katobu,-4.94,122.53,73.02,93,100,4.72,ID,1595091547
159,Kurumkan,54.3,110.3,55.2,60,37,4.94,RU,1595091547
160,Lavrentiya,65.58,-171,43.81,74,1,6.22,RU,1595091547
161,Andenes,69.31,16.12,57.2,76,16,5.82,NO,1595091548
162,Kushima,31.46,131.23,75,83,100,4,JP,1595091548
163,Channel-Port aux Basques,47.57,-59.14,60.55,70,100,2.68,CA,1595091548
164,Sitka,57.05,-135.33,55.4,100,90,3.36,US,1595091548
165,Medicine Hat,50.05,-110.67,68,63,40,12.75,CA,1595091549
166,Umm Kaddadah,13.6,26.69,96.51,23,3,5.14,SD,1595091549
167,Eyl,7.98,49.82,82.56,54,83,23.98,SO,1595091549
168,Kazachinskoye,57.7,93.28,49.15,78,1,1.01,RU,1595091549
169,Hay River,60.82,-115.8,69.8,64,20,6.93,CA,1595091549
170,Libertador General San Martín,-23.81,-64.79,88.34,23,80,3.74,AR,1595091549
171,Mehamn,71.04,27.85,52.41,79,100,6.4,NO,1595091550
172,Lata,40.16,-8.33,93.99,42,0,8.7,PT,1595091550
173,Fujinomiya,35.22,138.62,73.4,94,75,2.24,JP,1595091550
174,Lodwar,3.12,35.6,85.21,39,26,1.99,KE,1595091550
175,Larsnes,62.2,5.58,59,64,69,18.01,NO,1595091551
177,San Policarpo,12.18,125.51,82.29,80,100,7.31,PH,1595091551
178,Saurimo,-9.66,20.39,66.07,31,0,5.39,AO,1595091551
179,Bethel,41.37,-73.41,88,51,1,3.8,US,1595091293
180,Hambantota,6.12,81.12,81.07,80,73,12.3,LK,1595091551
181,Rosa Zarate,0.33,-79.47,82.08,69,91,5.59,EC,1595091552
182,Carbonia,39.17,8.52,86,62,40,14.99,IT,1595091274
183,Miles City,46.41,-105.84,71.6,56,1,12.75,US,1595091552
184,Naze,28.37,129.48,80.6,88,100,6.93,JP,1595091552
185,Cayenne,4.93,-52.33,82.4,83,27,2.24,GF,1595091553
186,Cabañas,22.98,-82.92,87.8,66,75,10.29,CU,1595091553
187,Ilulissat,69.22,-51.1,55.4,32,20,5.82,GL,1595091553
188,Narsaq,60.92,-46.05,64.4,36,75,3.36,GL,1595091553
189,Philadelphia,39.95,-75.16,91.99,35,20,8.05,US,1595091374
190,São Miguel do Araguaia,-13.28,-50.16,90.52,25,0,6.91,BR,1595091553
191,Pochutla,15.74,-96.47,87.8,58,40,6.93,MX,1595091554
192,Tuatapere,-46.13,167.68,35.02,83,0,3.47,NZ,1595091554
193,Vanimo,-2.67,141.3,78.04,82,100,1.83,PG,1595091554
194,Aripuanã,-9.17,-60.63,96.94,29,0,4.29,BR,1595091400
195,Chumikan,54.72,135.31,53.08,95,100,5.1,RU,1595091555
196,Murmashi,68.82,32.81,71.6,56,97,3.56,RU,1595091555
197,Preobrazheniye,42.9,133.91,61.25,88,0,5.48,RU,1595091555
198,Karratha,-20.74,116.85,66.27,85,100,14.79,AU,1595091519
199,Walvis Bay,-22.96,14.51,84.2,13,0,13.87,NA,1595091555
200,Urukh,43.29,44.03,84.2,42,40,2.24,RU,1595091556
201,Faanui,-16.48,-151.75,75.09,85,92,23.47,PF,1595091556
202,Payakumbuh,-0.22,100.63,70.41,88,100,1.39,ID,1595091556
203,Birao,10.28,22.79,76.64,84,99,5.66,CF,1595091556
204,Minyar,55.07,57.55,68.72,84,66,2.06,RU,1595091556
205,Katsuura,35.13,140.3,75.2,94,75,8.05,JP,1595091557
206,Mahébourg,-20.41,57.7,69.8,68,40,14.99,MU,1595091557
207,Lüderitz,-26.65,15.16,68.18,26,0,3.83,NA,1595091557
208,Ratnagiri,16.98,73.3,80.64,86,100,7.94,IN,1595091557
209,Chicama,-7.84,-79.15,71.62,57,19,9.86,PE,1595091557
210,Harar,9.31,42.13,63.16,74,100,5.64,ET,1595091557
211,Douglas,41.3,-96.17,91.99,52,1,9.17,US,1595091488
212,Seoul,37.57,126.98,77,61,90,2.66,KR,1595091558
213,Esperance,-33.87,121.9,50,100,90,5.82,AU,1595091558
214,Lebu,-37.62,-73.65,53.17,85,100,19.06,CL,1595091558
215,Tamboril,19.49,-70.61,87.8,58,40,4.7,DO,1595091558
216,Antofagasta,-23.65,-70.4,59,58,75,6.93,CL,1595091559
217,Vaitape,-16.52,-151.75,75.85,83,92,23.31,PF,1595091559
218,Tura,25.52,90.22,76.03,96,94,5.95,IN,1595091559
219,Rock Sound,24.9,-76.2,82.92,78,100,14.7,BS,1595091559
220,Petropavlovsk-Kamchatskiy,53.05,158.65,51.8,100,31,2.24,RU,1595091560
221,Uva,56.99,52.19,71.01,71,100,1.01,RU,1595091560
222,Pasni,25.26,63.47,87.51,81,2,14.07,PK,1595091560
223,Vryburg,-26.96,24.73,46.09,55,0,1.63,ZA,1595091560
224,Bambous Virieux,-20.34,57.76,69.8,68,40,14.99,MU,1595091560
225,Severo-Kuril'sk,50.68,156.12,48.4,89,55,10.65,RU,1595091560
227,Matamoros,25.53,-103.25,82.99,45,20,4.7,MX,1595091406
228,Minsk,53.9,27.57,77,36,27,4.47,BY,1595091289
230,Bhag,29.04,67.82,109.42,21,0,10.27,PK,1595091561
231,Valença,-13.37,-39.07,79.16,59,23,9.95,BR,1595091419
232,Rognan,67.1,15.39,62.01,71,43,1.86,NO,1595091561
233,Dingle,11,122.67,77.29,87,97,5.17,PH,1595091562
234,Ichinohe,40.21,141.3,64.4,100,90,3.36,JP,1595091562
235,Aklavik,68.22,-135.01,44.6,100,90,9.17,CA,1595091562
236,Nushki,29.55,66.02,89.4,30,38,1.48,PK,1595091562
237,Chokurdakh,70.63,147.92,43.34,69,0,11.65,RU,1595091562
239,Bada,51.39,109.87,47.5,89,39,4.59,RU,1595091563
240,High Prairie,55.43,-116.49,61.92,70,34,7.27,CA,1595091563
241,Geraldton,-28.77,114.6,48.2,93,90,6.93,AU,1595091563
242,Upernavik,72.79,-56.15,49.28,52,2,5.55,GL,1595091563
243,Fairbanks,64.84,-147.72,57.2,93,90,8.05,US,1595091563
244,Kavaratti,10.57,72.64,82.56,78,78,18.81,IN,1595091564
245,Aljezur,37.32,-8.8,78.01,83,0,8.7,PT,1595091564
246,Port Elizabeth,-33.92,25.57,62.6,42,0,10.29,ZA,1595091304
247,Nishihara,26.18,127.76,82.4,83,40,9.17,JP,1595091564
248,Prachuap Khiri Khan,11.82,99.78,81,82,42,5.93,TH,1595091564
250,Morón,-34.65,-58.62,60.01,100,90,2.24,AR,1595091565
251,Booué,-0.09,11.94,76.41,88,77,2.62,GA,1595091565
252,St. George's,12.06,-61.75,86,74,75,18.34,GD,1595091565
253,Hella,67.2,14.43,62.6,63,20,11.41,NO,1595091565
254,Sulangan,11.14,123.72,83.37,75,100,11.5,PH,1595091565
255,Kranuan,16.71,103.08,86,74,91,6.93,TH,1595091566
256,Labuan,5.28,115.24,78.8,94,20,2.24,MY,1595091566
257,Pimentel,-6.84,-79.93,69.8,68,90,6.93,PE,1595091566
258,Cockburn Town,21.46,-71.14,83.16,76,6,14.58,TC,1595091566
259,George Town,5.41,100.34,78.8,94,40,3.36,MY,1595091322
260,Leningradskiy,69.38,178.42,36.28,86,99,12.57,RU,1595091567
261,Žitište,45.48,20.55,69.8,64,75,8.05,RS,1595091567
262,Khatanga,71.97,102.5,45.64,84,99,4.7,RU,1595091567
263,Xining,36.62,101.77,49.77,78,9,3,CN,1595091567
264,Port Hardy,50.7,-127.42,57.2,87,90,8.05,CA,1595091567
265,Iqaluit,63.75,-68.51,46.4,93,90,13.87,CA,1595091568
267,Maracaçumé,-2.04,-45.96,85.55,64,35,5.26,BR,1595091568
268,Shenjiamen,29.96,122.3,77.95,92,93,21.99,CN,1595091568
269,Lompoc,34.64,-120.46,63,77,5,3.36,US,1595091568
271,Necochea,-38.55,-58.74,60.01,76,100,5.99,AR,1595091536
272,San Rafael,-34.62,-68.33,61.72,31,49,1.39,AR,1595091272
273,Anadyr,64.75,177.48,51.8,71,7,20.13,RU,1595091569
275,Bagé,-31.33,-54.11,84.2,45,0,19.46,BR,1595091569
276,Beyneu,45.32,55.2,95.59,12,94,6.06,KZ,1595091569
277,Vangaindrano,-23.35,47.6,65.77,81,54,5.48,MG,1595091570
278,The Valley,18.22,-63.06,87.8,58,20,12.75,AI,1595091502
279,Pacific Grove,36.62,-121.92,60.8,82,90,3.87,US,1595091293
280,Saint-Joseph,-21.37,55.62,66.99,77,40,9.17,RE,1595091570
281,Vila Franca do Campo,37.72,-25.43,73.4,64,75,11.41,PT,1595091570
282,North Bend,43.41,-124.22,63,77,1,9.17,US,1595091570
284,Sindhnūr,15.78,76.77,78.48,81,92,16.46,IN,1595091547
285,Kloulklubed,7.04,134.26,77,94,75,5.19,PW,1595091571
286,Kyshtovka,56.55,76.63,66.4,85,78,5.73,RU,1595091571
287,Örnsköldsvik,63.29,18.72,69.8,64,78,10.29,SE,1595091493
288,Gusau,12.16,6.66,80.28,69,99,3.65,NG,1595091571
289,Acapulco de Juárez,16.86,-99.89,86,66,5,8.05,MX,1595091572
290,Santa Cruz do Sul,-29.72,-52.43,83.68,57,0,3.76,BR,1595091454
292,Port Augusta,-32.5,137.77,46.4,93,23,8.05,AU,1595091572
293,Mangan,27.52,88.53,76.71,58,100,1.61,IN,1595091572
294,Zhigansk,66.77,123.37,54.75,91,66,6.73,RU,1595091573
296,Husavik,66.04,-17.34,44.6,75,75,20.8,IS,1595091573
298,Alekseyevsk,57.84,108.35,44.65,90,15,1.86,RU,1595091573
299,Provideniya,64.38,-173.3,45.37,83,96,4.97,RU,1595091573
300,Noumea,-22.28,166.46,68,87,13,4.7,NC,1595091342
301,Ibotirama,-12.19,-43.22,88.11,28,1,7.78,BR,1595091574
302,Kamariótissa,40.48,25.47,84.2,35,20,5.82,GR,1595091574
303,Verkhnevilyuysk,63.45,120.32,53.38,93,28,4.32,RU,1595091574
