,City,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
304,Ixtapa,20.7,-105.2,88,66,40,2.71,MX,1595091574
305,Clyde River,70.47,-68.59,42.8,87,75,14.99,CA,1595091574
306,Olinda,-8.01,-34.86,82.4,61,40,18.34,BR,1595091575
307,Chapais,49.78,-74.85,75.2,50,75,4.7,CA,1595091575
308,Mbaïki,3.87,17.99,73.81,92,34,2.75,CF,1595091575
309,Viedma,-40.81,-63,63.12,38,12,13.96,AR,1595091575
311,Tignère,7.37,12.65,67.68,96,99,3.89,CM,1595091575
312,Kumul,42.8,93.45,85.95,13,13,8.61,CN,1595091576
313,Gamba,-2.65,10,73.35,79,0,9.01,GA,1595091576
314,Lotofaga,-13.98,-171.86,80.87,79,6,20.92,WS,1595091576
315,Kununurra,-15.77,128.73,57.2,32,41,4.23,AU,1595091576
316,Bengkulu,-3.8,102.27,76.28,91,100,4.94,ID,1595091577
317,San Ramon,37.78,-121.98,73,60,1,4.7,US,1595091516
318,Yichun,47.7,128.9,66.09,95,3,1.81,CN,1595091577
319,Vostok,46.49,135.88,63.28,83,0,2.89,RU,1595091577
320,Fortuna,40.6,-124.16,64,82,1,6.93,US,1595091577
321,Port Blair,11.67,92.75,82.27,78,1,6.67,IN,1595091416
322,Comodoro Rivadavia,-45.87,-67.5,41,80,40,5.82,AR,1595091577
323,Aksu,41.12,80.26,76.33,38,96,6.17,CN,1595091578
324,Kavieng,-2.57,150.8,81.5,76,100,8.3,PG,1595091578
325,Goderich,43.75,-81.72,86,63,11,11.68,CA,1595091578
326,Coquimbo,-29.95,-71.34,57.2,67,100,11.41,CL,1595091578
327,Los Llanos de Aridane,28.66,-17.92,77,78,20,12.75,ES,1595091578
328,Sørland,67.67,12.69,54.84,85,2,8.52,NO,1595091578
329,Banda Aceh,5.56,95.32,80.4,79,58,4.7,ID,1595091579
330,Algiers,36.75,3.04,82.4,54,0,18.34,DZ,1595091579
331,Najrān,17.49,44.13,95,15,40,5.82,SA,1595091579
332,Vardø,70.37,31.11,50.45,89,100,10.6,NO,1595091579
333,Kieta,-6.22,155.63,78.06,80,100,2.64,PG,1595091580
334,Oktyabr'skiy,54.48,53.47,66.49,93,100,9.33,RU,1595091580
335,Yershichi,53.67,32.75,64.81,79,0,5.03,RU,1595091580
336,Khovu-Aksy,51.13,93.6,54.21,67,19,2.44,RU,1595091580
337,Saint Simons,31.14,-81.39,89.6,66,20,8.05,US,1595091580
338,Caucayá,-0.19,-74.78,81.27,84,71,1.45,CO,1595091581
339,Artyom,40.47,50.33,80.6,69,0,6.93,AZ,1595091581
340,São João da Barra,-21.64,-41.05,78.8,47,75,6.93,BR,1595091581
342,Northam,51.03,-4.22,66.99,88,90,8.01,GB,1595091581
343,Luba,3.46,8.55,82.4,78,20,11.41,GQ,1595091582
344,Cidreira,-30.18,-50.21,72.48,70,28,10.29,BR,1595091582
346,Bela,25.93,81.98,92.64,58,73,3.31,IN,1595091582
347,Shenzhen,22.55,114.07,86,90,100,10.87,CN,1595091431
349,Sarankhola,22.31,89.79,82.15,87,100,8.41,BD,1595091583
350,Pevek,69.7,170.31,42.01,72,12,2.59,RU,1595091583
351,Airai,-8.93,125.41,55.74,54,90,2.48,TL,1595091583
352,Fairview,40.81,-74,91,38,1,2.73,US,1595091441
353,Blagoyevo,63.37,47.92,65.44,72,23,4.56,RU,1595091583
354,Manokwari,-0.87,134.08,78.96,76,92,3.04,ID,1595091583
355,Leeuwarden,53.2,5.81,75,73,90,9.17,NL,1595091584
356,Tiznit Province,29.58,-9.5,92.88,17,0,9.86,MA,1595091584
357,Nālūt,30.33,10.85,102.16,13,34,10.04,LY,1595091584
358,Altamont,42.21,-121.74,78.01,40,1,3.36,US,1595091584
359,Vao,-22.67,167.48,69.31,73,10,14.88,NC,1595091585
360,Zabid,14.2,43.32,91.27,47,100,12.33,YE,1595091585
362,Québec,46.81,-71.21,82,65,20,12.75,CA,1595091493
364,Loudi,27.73,111.99,80.15,80,89,3.74,CN,1595091585
365,Longyearbyen,78.22,15.64,50,61,75,16.11,SJ,1595091585
366,Peniche,39.36,-9.38,75.99,83,0,8.01,PT,1595091585
367,Adrar,20.5,-10.07,105.22,14,49,3.27,MR,1595091586
368,Zinder,13.81,8.99,87.8,52,100,6.93,NE,1595091586
370,Hasaki,35.73,140.83,70,100,75,3.36,JP,1595091587
371,Okhotsk,59.38,143.3,55.26,94,98,0.92,RU,1595091587
372,Beroroha,-21.67,45.17,65.66,56,0,7.92,MG,1595091587
374,Bara,10.37,10.73,84.4,64,72,3.78,NG,1595091587
375,Churapcha,62,132.43,66.13,95,71,8.12,RU,1595091587
376,São Filipe,14.9,-24.5,76.44,73,24,11.92,CV,1595091588
377,Almaznyy,48.04,40.05,73.4,64,37,8.95,RU,1595091588
378,Sabha,27.04,14.43,105.62,11,3,7.14,LY,1595091588
379,Asilah,35.47,-6.03,86,51,0,13.87,MA,1595091589
380,Jadu,31.95,12.03,80.29,47,0,17.36,LY,1595091589
381,Voh,-20.97,164.7,61.29,75,1,3.04,NC,1595091589
382,Margate,51.38,1.39,79,52,68,1.01,GB,1595091589
383,Tazmalt,36.39,4.4,78.8,65,20,6.93,DZ,1595091590
384,Millinocket,45.66,-68.71,80.6,61,1,4.7,US,1595091590
385,Forsytheganj,52.63,29.73,66.88,72,0,5.57,BY,1595091590
386,‘Āhuimanu,21.44,-157.84,78.01,78,75,3.36,US,1595091590
387,Dumas,35.87,-101.97,96.01,33,1,16.11,US,1595091590
388,Mikhaylovka,50.06,43.24,68,68,77,8.01,RU,1595091590
389,Biloela,-24.42,150.5,48.22,87,0,1.61,AU,1595091591
390,Evensk,61.95,159.23,50.9,76,87,8.7,RU,1595091591
391,Marzuq,14.4,46.47,89.53,32,99,5.19,YE,1595091591
392,Bondoukou,8.03,-2.8,79.97,74,40,6.22,CI,1595091591
393,Eureka,40.8,-124.16,64.99,100,0,3.33,US,1595091591
394,Ust-Tsilma,65.44,52.15,62.71,86,3,3.89,RU,1595091591
395,Ust'-Tarka,55.57,75.7,67.01,84,58,6.85,RU,1595091592
396,Mount Isa,-20.73,139.5,42.8,41,0,9.24,AU,1595091592
397,Moose Factory,51.26,-80.61,80.6,54,1,8.05,CA,1595091592
398,Bestöbe,52.5,73.1,79.45,48,97,12.03,KZ,1595091592
399,Assiut,27.18,31.18,91.4,31,0,13.87,EG,1595091593
400,Morondava,-20.28,44.28,75.16,54,83,8.86,MG,1595091593
401,Ola,59.58,151.28,51.35,73,47,6.02,RU,1595091593
402,Ojinaga,29.57,-104.42,95,30,1,4.7,MX,1595091593
403,Sémbé,1.65,14.58,74.62,89,76,1.23,CG,1595091593
404,Aykhal,66,111.5,55.4,82,90,4.47,RU,1595091593
405,Varhaug,58.61,5.65,54,99,100,3.2,NO,1595091594
406,Humboldt,40.67,-123.92,64,82,1,6.93,US,1595091594
407,Tazovsky,67.47,78.7,51.98,71,100,4.27,RU,1595091594
408,Caravelas,-17.71,-39.25,76.86,53,77,7.43,BR,1595091567
409,Olafsvik,64.89,-23.71,48.99,78,76,17.58,IS,1595091594
410,Sorada,19.75,84.43,82.38,85,74,0.72,IN,1595091594
411,Mokhotlong,-29.29,29.07,42.12,45,0,1.28,LS,1595091594
413,Iranshahr,27.2,60.68,105.8,24,40,6.93,IR,1595091595
414,Ostrovnoy,68.05,39.51,68.97,56,60,8.34,RU,1595091595
415,Matane,48.83,-67.52,69.8,77,40,6.93,CA,1595091595
416,Muravlenko,63.79,74.52,65.93,88,79,5.41,RU,1595091595
417,Shanhecun,44.7,127.2,70.5,85,87,2.82,CN,1595091596
418,Lamar,33.67,-95.58,91,58,1,11.41,US,1595091596
419,Lagoa,39.05,-27.98,69.48,78,33,12.86,PT,1595091596
420,Quang Ngai,15.12,108.8,77.34,87,80,6.15,VN,1595091596
421,Bonthe,7.53,-12.51,80.91,69,100,6.33,SL,1595091596
422,Kuching,1.55,110.33,77,94,20,2.24,MY,1595091596
423,Złocieniec,53.53,16.01,77,51,74,4.03,PL,1595091596
424,Flinders,-34.58,150.86,53.01,85,100,1.01,AU,1595091597
425,Jijiga,9.35,42.8,66.87,65,100,14.12,ET,1595091597
426,Armidale,-30.52,151.65,38.01,92,8,2.71,AU,1595091597
427,Catalina Foothills,32.3,-110.92,97,29,28,4,US,1595091597
430,Roald,62.58,6.13,60.01,72,62,17.22,NO,1595091598
431,Nuuk,64.18,-51.72,52.66,60,12,7.36,GL,1595091598
432,Touros,-5.2,-35.46,73.4,100,90,6.93,BR,1595091598
433,Tomatlán,19.93,-105.25,95.92,44,9,2.3,MX,1595091598
434,Chilca,-12.52,-76.74,64.4,72,90,6.93,PE,1595091598
435,Nemuro,43.32,145.57,57.79,97,58,10.45,JP,1595091598
436,Gigmoto,13.78,124.39,81.28,79,99,4.97,PH,1595091599
437,Acarí,-15.43,-74.62,72.25,43,31,9.06,PE,1595091599
438,Lyubech,51.7,30.66,67.89,75,4,6.82,UA,1595091599
439,Murwāra,23.85,80.4,86.72,64,100,8.59,IN,1595091599
440,Blagoveshchenka,52.83,79.87,63.37,71,41,12.03,RU,1595091599
441,Skibbereen,51.55,-9.27,64.4,55,75,11.41,IE,1595091600
443,Sambava,-14.27,50.17,70.05,72,1,18.32,MG,1595091600
444,Dunedin,-45.87,170.5,45,88,2,1.99,NZ,1595091600
445,Mīnāb,27.15,57.08,96.8,60,75,9.17,IR,1595091601
446,Buluang,13.31,123.34,77.76,85,100,3.04,PH,1595091601
447,Araouane,18.9,-3.53,99,25,35,10.11,ML,1595091602
448,Namie,37.48,141,69.01,98,100,1.25,JP,1595091602
449,Lobito,-12.35,13.55,71.26,78,0,2.53,AO,1595091603
450,Constitución,-35.33,-72.42,56.8,87,100,15.99,CL,1595091603
451,Lázaro Cárdenas,17.96,-102.2,88.45,52,0,2.44,MX,1595091601
452,Saskatoon,52.12,-106.63,69.01,72,40,16.11,CA,1595091600
453,Prince Rupert,54.32,-130.32,55.4,100,90,12.75,CA,1595091604
454,Oxbow,49.23,-102.17,66,89,100,5.99,CA,1595091605
455,Gelgaudiškis,55.08,22.98,72.73,71,23,4.61,LT,1595091546
456,Hūn,29.13,15.95,100.11,20,0,13.29,LY,1595091605
457,Sibolga,1.74,98.78,76.64,81,100,5.46,ID,1595091605
458,Popondetta,-8.75,148.25,71.73,95,83,2.42,PG,1595091606
459,Beian,63.66,9.57,64.4,77,75,8.05,NO,1595091606
460,Vadsø,70.07,29.75,53.6,93,75,11.41,NO,1595091606
461,Spearfish,44.49,-103.86,72,44,44,1.99,US,1595091607
462,Moanda,-1.56,13.22,78.8,78,20,2.24,GA,1595091607
463,Cabo San Lucas,22.89,-109.91,89.6,46,20,5.48,MX,1595091607
464,San Patricio,19.22,-104.7,91.4,59,5,4.27,MX,1595091607
465,Baiyin,36.56,104.21,64,100,9,2.24,CN,1595091608
466,Tandil,-37.32,-59.13,64,60,100,1.99,AR,1595091603
467,Santa Maria,-29.68,-53.81,84.2,48,0,14.99,BR,1595091507
468,Half Moon Bay,37.46,-122.43,66.99,82,90,3.36,US,1595091608
469,Biskamzha,53.45,89.53,51.1,88,0,4.09,RU,1595091609
470,Omboué,-1.57,9.26,74.39,80,3,9.78,GA,1595091609
471,Kulhudhuffushi,6.62,73.07,84.51,71,100,19.26,MV,1595091609
472,Manavālakurichi,8.13,77.3,80.6,69,75,11.41,IN,1595091609
473,Itaituba,-4.28,-55.98,96.26,32,65,4.25,BR,1595091610
474,Smithers,54.78,-127.17,53.6,93,90,1.57,CA,1595091610
475,Portree,57.41,-6.19,55.99,84,45,8.01,GB,1595091610
476,Olecko,54.03,22.51,70.63,78,14,6.08,PL,1595091610
477,Mulegé,26.88,-111.98,93.15,42,0,4.14,MX,1595091610
478,Bariloche,-41.15,-71.31,41,86,75,4.7,AR,1595091355
479,Arica,-18.48,-70.3,62.6,63,90,2.24,CL,1595091611
480,Oktyabr'skoye,43.06,44.74,84.2,54,36,2.24,RU,1595091611
481,Karaton,-6.34,106.1,80.6,78,20,4.7,ID,1595091611
482,Churāchāndpur,24.33,93.67,70.32,96,100,2.24,IN,1595091611
483,Xichang,27.9,102.26,69.24,81,100,1.07,CN,1595091611
484,Gazimurskiy Zavod,51.55,118.33,60.3,94,100,1.57,RU,1595091611
485,Shitanjing,39.23,106.34,69.69,27,0,1.14,CN,1595091612
486,Coahuayana Viejo,18.73,-103.68,78.8,78,20,2.59,MX,1595091612
487,Bassila,9.01,1.67,76.8,85,82,4.05,BJ,1595091612
488,Meulaboh,4.14,96.13,78.82,84,98,3.69,ID,1595091612
489,Ust-Nera,64.57,143.2,55.27,40,99,2.89,RU,1595091612
490,Cam Ranh,11.92,109.16,82.4,88,20,5.5,VN,1595091612
491,Maridi,4.92,29.47,69.75,95,100,3.85,SS,1595091613
492,Jiuquan,39.74,98.52,66.54,26,0,1.57,CN,1595091613
493,Lodja,-3.48,23.43,77.88,39,45,1.25,CD,1595091613
494,Rijeka,45.34,14.41,73.4,40,20,12.75,HR,1595091537
495,Lomovka,53.92,58.37,82.4,34,75,6.71,RU,1595091613
496,Veshenskaya,49.63,41.73,63.54,85,5,5.84,RU,1595091613
498,Itoman,26.12,127.67,82.4,83,20,10.29,JP,1595091614
499,Rocha,-34.48,-54.33,66.56,87,100,8.3,UY,1595091447
500,Opuwo,-18.06,13.84,63.19,28,0,10.71,NA,1595091614
502,Kathu,7.92,98.33,87.01,94,20,3.36,TH,1595091614
503,Tilichiki,60.47,166.1,48.42,100,100,3.91,RU,1595091615
504,Makubetsu,45.37,141.82,61.99,86,0,5.41,JP,1595091615
505,Dolisie,-4.2,12.67,81.5,50,76,5.61,CG,1595091615
507,Sousa,-6.76,-38.23,89.83,36,52,11.97,BR,1595091615
508,Craig,40.52,-107.55,78.8,31,1,8.05,US,1595091616
509,Nortelândia,-14.45,-56.8,96.37,22,0,6.76,BR,1595091616
510,Baturaja,-4.13,104.17,73.69,95,100,2.06,ID,1595091616
511,Traismauer,48.35,15.76,64,89,96,8.59,AT,1595091616
512,Dwārka,22.24,68.97,84.85,82,7,17.67,IN,1595091616
513,Sabang,5.89,95.32,83.75,70,41,3.67,ID,1595091617
514,Nowy Dwór Mazowiecki,52.43,20.72,82,53,31,9.17,PL,1595091565
515,Santa Rosa de Viterbo,-21.47,-47.36,84.2,32,75,6.93,BR,1595091545
516,Mayor Pablo Lagerenza,-19.93,-60.77,94.73,19,0,17.67,PY,1595091617
517,Honiara,-9.43,159.95,75.2,94,40,3.36,SB,1595091617
518,Laas,46.62,10.7,71.01,48,40,8.05,IT,1595091617
520,Hirara,24.8,125.28,84.63,84,100,21.09,JP,1595091618
521,Sistranda,63.73,8.83,64.4,77,75,8.05,NO,1595091618
522,Noyabrsk,63.2,75.45,66.06,90,92,9.86,RU,1595091618
523,Shimoda,34.67,138.95,66.99,96,100,7.2,JP,1595091618
524,Vestmannaeyjar,63.44,-20.27,50,66,40,28.86,IS,1595091618
525,Waddān,29.16,16.14,99.64,21,0,13.04,LY,1595091619
526,Port Hedland,-20.32,118.57,64.4,72,81,13.87,AU,1595091619
527,Borovichi,58.39,33.92,67.32,66,42,4.34,RU,1595091619
528,Jalu,29.03,21.55,95.41,17,0,11.92,LY,1595091619
529,Tsogni,-2.79,10.1,72.72,80,1,8.41,GA,1595091619
530,Ardabil,38.25,48.29,71.6,60,40,18.34,IR,1595091619
531,Jizan,17.33,42.67,91.4,63,40,14.99,SA,1595091619
532,Mossamedes,-15.2,12.15,71.47,61,0,8.7,AO,1595091620
533,Viranşehir,37.24,39.76,88.95,15,0,6.87,TR,1595091620
534,Sioux Lookout,50.1,-91.92,80.6,57,20,6.93,CA,1595091620
535,Diébougou,10.97,-3.25,83.25,66,83,5.66,BF,1595091620
536,Brae,60.4,-1.35,57.2,71,53,18.34,GB,1595091620
537,Tailai,46.38,123.4,70.56,77,100,6.67,CN,1595091621
539,Waipawa,-41.41,175.52,53.01,93,96,2.24,NZ,1595091621
540,Mocuba,-16.84,36.99,63.54,84,7,4.5,MZ,1595091621
542,Mayumba,-3.43,10.66,72.66,85,10,7.27,GA,1595091621
543,Maubin,16.73,95.65,78.8,94,75,5.82,MM,1595091621
544,Khanpur,28.65,70.66,103.5,34,62,16.98,PK,1595091621
545,Sobolevo,54.43,31.9,65.84,77,2,3.06,RU,1595091622
546,Matara,5.95,80.54,80.11,83,89,9.1,LK,1595091622
547,Umluj,25.02,37.27,85.1,56,17,4,SA,1595091622
548,Fort Nelson,58.81,-122.7,64.4,72,40,4.7,CA,1595091622
549,Lorengau,-2.02,147.27,80.96,77,100,6.58,PG,1595091623
550,Emerald,-23.53,148.17,50,66,0,3.36,AU,1595091623
551,Biltine,14.53,20.92,91.24,38,86,10.54,TD,1595091623
552,Dalnerechensk,45.93,133.72,64.33,87,4,6.35,RU,1595091623
553,Westerland,54.91,8.3,71.6,60,100,10.29,DE,1595091623
554,Rosário do Sul,-30.26,-54.91,80.53,61,0,13.2,BR,1595091623
556,Santa Maria da Boa Vista,-8.81,-39.83,87.37,33,71,18.3,BR,1595091624
557,Coyhaique,-45.58,-72.07,32,86,90,3.36,CL,1595091624
558,Saint-Nazaire,47.28,-2.2,82.4,51,26,9.17,FR,1595091624
559,Bontang,0.13,117.5,79.97,82,19,6.69,ID,1595091347
560,Carauari,-4.88,-66.9,93.36,42,13,4.07,BR,1595091624
561,Natal,-5.79,-35.21,77,83,75,17.22,BR,1595091625
562,Marawi,8,124.29,77,87,92,5.01,PH,1595091625
563,Pinos,22.3,-101.57,69.8,52,40,6.93,MX,1595091625
564,Neiafu,-18.65,-173.98,73.4,94,90,16.8,TO,1595091625
566,Acobamba,-11.35,-75.66,64.9,28,0,8.08,PE,1595091625
567,Rafai,4.95,23.92,70.83,95,90,2.01,CF,1595091626
568,Ibrā’,22.69,58.53,91.89,43,100,5.97,OM,1595091626
569,Nome,64.5,-165.41,48.99,87,1,4.7,US,1595091626
570,Ereymentau,51.62,73.1,75.7,49,70,11.63,KZ,1595091626
571,Sola,-13.88,167.55,79.43,82,86,6.22,VU,1595091626
572,Verkhoyansk,67.54,133.38,64.76,62,100,3.27,RU,1595091627
573,Alofi,-19.06,-169.92,73.4,83,58,5.82,NU,1595091627
575,Marsá Maţrūḩ,31.35,27.25,80.6,69,0,11.41,EG,1595091418
576,Alexandria,31.22,29.96,82.4,61,0,11.41,EG,1595091627
577,Andros,37.83,24.93,79,46,0,8.99,GR,1595091627
578,Ambilobe,-13.2,49.05,69.67,68,10,3.15,MG,1595091627
579,Zyryanka,65.75,150.85,46.78,79,0,3.33,RU,1595091628
580,Sinnamary,5.38,-52.95,83.7,76,7,9.19,GF,1595091628
581,Hammerfest,70.66,23.68,59,62,85,5.82,NO,1595091628
582,Los Andes,-32.83,-70.6,59,99,100,2.57,CL,1595091628
584,Ulladulla,-35.35,150.47,50,76,100,10.29,AU,1595091628
585,Lake Havasu City,34.48,-114.32,100.4,14,1,11.41,US,1595091401
586,Rio Grande,-32.03,-52.1,86,48,35,19.46,BR,1595091446
587,Kuito,-12.38,16.93,56.97,36,0,4.94,AO,1595091629
588,Turaif,31.67,38.66,102.2,15,0,6.93,SA,1595091629
589,Esmeraldas,-19.76,-44.31,71.6,53,40,14.99,BR,1595091629
590,Stokmarknes,68.56,14.91,57,80,14,4,NO,1595091629
591,Puksoozero,62.59,40.61,61.48,59,55,3.67,RU,1595091630
592,Alta Floresta,-9.88,-56.09,96.42,25,3,6.02,BR,1595091630
593,Flin Flon,54.77,-101.86,62.6,88,90,5.82,CA,1595091630
594,Mutoko,-17.4,32.23,53.98,69,0,6.96,ZW,1595091631
595,Galveston,29.37,-94.97,84.2,74,1,5.82,US,1595091631
596,Maceió,-9.67,-35.74,78.8,74,75,9.17,BR,1595091631
597,Kabala,9.58,-11.55,68.4,97,100,4.63,SL,1595091631
598,Qixingtai,30.41,111.89,68,97,100,12.08,CN,1595091631
599,Chuncheng,22.17,111.79,79.03,93,100,4.34,CN,1595091631
600,Buchanan,5.88,-10.05,80.6,83,75,6.93,LR,1595091632
601,Zubtsov,56.18,34.59,64.2,73,1,3.33,RU,1595091632
602,Atocha,-20.93,-66.23,51.6,35,67,9.06,BO,1595091632
603,Mrakovo,52.72,56.62,75.58,55,22,6.17,RU,1595091632
604,Santiago de Cuba,20.02,-75.82,89.6,66,40,8.05,CU,1595091570
605,Baruun-Urt,46.68,113.28,51.67,90,100,12.68,MN,1595091633
606,Harper,4.38,-7.72,78.91,76,67,9.4,LR,1595091633
607,Barra do Corda,-5.5,-45.25,92.34,30,0,7.18,BR,1595091633
608,Guadalajara,20.67,-103.33,75,64,40,5.82,MX,1595091607
609,Yatou,37.15,122.38,70.2,97,100,17.22,CN,1595091633
610,Ahipara,-35.17,173.17,57.51,89,95,8.7,NZ,1595091633
611,Bukama,-9.2,25.85,71.58,35,0,6.33,CD,1595091634
612,Rabo de Peixe,37.8,-25.58,73.4,64,75,11.41,PT,1595091634
